index,StroopText,StroopColor,StroopCondition,correct,is_practice,practice_cue,practice_cont,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,vocal_RT,bad_baseline,filename,participant,session,date,expName,psychopyVersion,frameRate,
17,Orange,white,Word,orange,no,None,None,,,,,,,,,0,11,11,11,1.247,False,data/trial_011.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
17,Orange,white,Word,orange,no,None,None,,,,,,,,,0,11,11,11,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
18,Red,white,Word,red,no,None,None,,,,,,,,,0,12,12,12,1.945,False,data/trial_012.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
18,Red,white,Word,red,no,None,None,,,,,,,,,0,12,12,12,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
19,Orange,white,Word,orange,no,None,None,,,,,,,,,0,13,13,13,1.18,False,data/trial_013.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
19,Orange,white,Word,orange,no,None,None,,,,,,,,,0,13,13,13,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
20,****,blue,Color,blue,no,None,None,,,,,,,,,0,14,14,14,1.059,False,data/trial_014.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
20,****,blue,Color,blue,no,None,None,,,,,,,,,0,14,14,14,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
21,Orange,yellow,CW,yellow,no,None,None,,,,,,,,,0,15,15,15,0,False,data/trial_015.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
21,Orange,yellow,CW,yellow,no,None,None,,,,,,,,,0,15,15,15,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
22,******,purple,Color,purple,no,None,None,,,,,,,,,0,16,16,16,1.087,False,data/trial_016.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
22,******,purple,Color,purple,no,None,None,,,,,,,,,0,16,16,16,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
23,Red,green,CW,green,no,None,None,,,,,,,,,0,17,17,17,0,False,data/trial_017.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
23,Red,green,CW,green,no,None,None,,,,,,,,,0,17,17,17,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
24,Blue,white,Word,blue,no,None,None,,,,,,,,,0,18,18,18,0.155,False,data/trial_018.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
24,Blue,white,Word,blue,no,None,None,,,,,,,,,0,18,18,18,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
25,Green,orange,CW,orange,no,None,None,,,,,,,,,0,19,19,19,0.174,False,data/trial_019.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
25,Green,orange,CW,orange,no,None,None,,,,,,,,,0,19,19,19,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
